project.id,sample.id,species,temp.treatment,temp.treatment2,exp.date,weight.before,weight.after,wet.weight.g,wet.weight.mg,nanodrop,a260.a280,a260.a230,status
PL001,20.0DL01,DL,20C,20C,15-Sep-22,1.2977,1.3871,0.0894,89.4,28.1,1.88,1.26,alive
PL002,20.0DL02,DL,20C,20C,15-Sep-22,1.343,1.4181,0.0751,75.1,19.7,1.89,1.85,dead
PL003a,20.0DL04,DL,20C,20C,15-Sep-22,1.3153,1.4193,0.104,104,25.1,1.91,1.87,alive
PL003b,20.0DL06,DL,20C,20C,15-Sep-22,1.3232,1.3492,0.026,26,38.2,1.85,1.46,alive
PL005,20.0DL07,DL,20C,20C,15-Sep-22,1.3215,1.3565,0.035,35,31.2,1.85,1.27,alive
PL006,20.0DL08,DL,20C,20C,15-Sep-22,1.3188,1.321,0.0022,2.2,4.6,1.93,0.62,disintegrated
PL007,20.0DL09,DL,20C,20C,15-Sep-22,1.323,1.3497,0.0267,26.7,19.1,1.91,0.61,dead
PL008,20.0DL10,DL,20C,20C,15-Sep-22,1.3227,1.3391,0.0164,16.4,38.6,1.88,1.86,alive
PL009,20.0DLW01,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,11.8,1.91,1.57,alive-water
PL010,20.0DLW02,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,15,1.86,1.78,dead-water
PL011,20.0DLW03,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,15.5,1.85,1.67,disintegrated-water
PL012,20.0DLW04,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,19.3,1.83,1.1,alive-water
PL013,20.0DLW05,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,16.3,1.76,1.53,disintegrated-water
PL014,20.0DLW06,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,3.9,2.03,0.51,alive-water
PL015,20.0DLW07,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,12.4,1.79,0.93,alive-water
PL016,20.0DLW08,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,35.1,1.83,1.93,disintegrated-water
PL017,20.0DLW09,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,12.4,1.81,0.83,dead-water
PL018,20.0DLW10,W,20C,20CW,15-Sep-22,NA,NA,NA,NA,13.5,1.75,1.21,alive-water
PL019,22.5DL01,DL,22.5C,22.5C,15-Sep-22,1.3095,1.3902,0.0807,80.7,34.5,1.82,1.67,dead
