"","pairs","SumOfSqs","F.Model","R2","pval","p.adj"
"1","20C vs 20CW",0.550547102801296,6.93555571442831,0.302393183787794,0.001,0.00145161290322581
"2","20C vs 22.5C",0.837657990892985,5.15674906294153,0.243740143989048,0.001,0.00145161290322581
"3","20C vs 22.5CW",1.09552350529474,12.5181256674202,0.438953310375555,0.001,0.00145161290322581
"4","20C vs 25C",0.336625277578596,2.17533806094011,0.153459342668815,0.017,0.0182142857142857
"5","20C vs 25CW",0.738613887752149,6.75791169309977,0.360269938555352,0.002,0.00257142857142857
"6","20C vs 27.5C",0.871280459837619,4.93160762578843,0.275023172975077,0.001,0.00145161290322581
"7","20C vs 27.5CW",1.20412106103905,10.3808485905642,0.443989385173711,0.001,0.00145161290322581
"8","20C vs 30C",1.31453427098387,10.4603611897086,0.395321935128271,0.001,0.00145161290322581
"9","20C vs 30CW",1.82536220814642,21.1907466004335,0.569785458412564,0.001,0.00145161290322581
"10","20CW vs 22.5C",0.709659671972047,6.03746608607541,0.251168990294398,0.001,0.00145161290322581
"11","20CW vs 22.5CW",0.691290263607897,13.5697809261188,0.429834497675974,0.001,0.00145161290322581
"12","20CW vs 25C",0.552654714670174,5.6323748948957,0.286892183194815,0.004,0.00473684210526316
"13","20CW vs 25CW",0.43223655002617,7.30574515770278,0.342900241396227,0.002,0.00257142857142857
"14","20CW vs 27.5C",0.950350689644524,7.86069491892735,0.343851967177916,0.001,0.00145161290322581
"15","20CW vs 27.5CW",0.873796963031404,12.7914032919134,0.460264750129958,0.001,0.00145161290322581
"16","20CW vs 30C",1.81816817832629,21.4261860130488,0.543450639784367,0.001,0.00145161290322581
"17","20CW vs 30CW",1.71229714268751,34.4382505707692,0.656739120697634,0.001,0.00145161290322581
"18","22.5C vs 22.5CW",0.222276799940033,1.78144404923588,0.0900563196904069,0.063,0.063
"19","22.5C vs 25C",0.459641460730001,2.38100196479685,0.1453514241628,0.01,0.0115384615384615
"20","22.5C vs 25CW",0.455572646151033,2.95656993900291,0.174361321283635,0.003,0.00364864864864865
"21","22.5C vs 27.5C",0.497845872426278,2.37640827889264,0.136760614780172,0.014,0.0153658536585366
"22","22.5C vs 27.5CW",0.677276564582995,4.31641231345843,0.223458282180642,0.001,0.00145161290322581
"23","22.5C vs 30C",1.35900808029373,8.56406247545897,0.322392799797502,0.001,0.00145161290322581
"24","22.5C vs 30CW",1.47606959004041,11.9470648821309,0.398939426256079,0.001,0.00145161290322581
"25","22.5CW vs 25C",0.669160187600587,6.22951183553581,0.307941777645512,0.001,0.00145161290322581
"26","22.5CW vs 25CW",0.437556538809239,6.39136295148057,0.313434808977127,0.001,0.00145161290322581
"27","22.5CW vs 27.5C",0.754182418769556,5.82038819762653,0.279552337947764,0.002,0.00257142857142857
"28","22.5CW vs 27.5CW",0.677363028284132,8.79827486295469,0.369702212182213,0.001,0.00145161290322581
"29","22.5CW vs 30C",1.7158651207491,18.6328765216082,0.508638094816754,0.001,0.00145161290322581
"30","22.5CW vs 30CW",1.64142700153322,28.8214676789903,0.615560961834672,0.001,0.00145161290322581
"31","25C vs 25CW",0.317359595333012,2.24256564656849,0.183177751405161,0.029,0.0303488372093023
"32","25C vs 27.5C",0.486546582206481,2.22967620029103,0.168535961616504,0.011,0.012375
"33","25C vs 27.5CW",0.728615860953475,4.9733726711373,0.311353949696786,0.001,0.00145161290322581
"34","25C vs 30C",0.977332067391567,6.47148131994725,0.316121790055392,0.001,0.00145161290322581
"35","25C vs 30CW",1.27902951814179,12.0838854017094,0.463270146130817,0.001,0.00145161290322581
"36","25CW vs 27.5C",0.554184222055122,3.2863493061687,0.230034226081095,0.002,0.00257142857142857
"37","25CW vs 27.5CW",0.436708596529487,4.50579533525945,0.290587824606035,0.003,0.00364864864864865
"38","25CW vs 30C",1.2560935160663,11.2086930060862,0.444636023112348,0.001,0.00145161290322581
"39","25CW vs 30CW",1.20296652473181,17.9845933320736,0.562289260499647,0.001,0.00145161290322581
"40","27.5C vs 27.5CW",0.326486019511802,1.9099004673547,0.137305113853048,0.03,0.0306818181818182
"41","27.5C vs 30C",0.841612901706489,4.94273585738538,0.247846428530764,0.001,0.00145161290322581
"42","27.5C vs 30CW",1.06268744206384,8.29518936361144,0.356090231083034,0.001,0.00145161290322581
"43","27.5CW vs 30C",1.16760370944627,9.92144173373364,0.398108658388892,0.001,0.00145161290322581
"44","27.5CW vs 30CW",0.997861113455117,13.2130140666867,0.46833046747346,0.001,0.00145161290322581
"45","30C vs 30CW",0.51266712069144,5.64204532803619,0.238644552522937,0.001,0.00145161290322581
